Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 FUNDACAO CASPER LIBERO; 61277273000172; AVENIDA PAULISTA, 900; 23S335500; 46W390200;; São Paulo;88100,0000; SP; 7803222;;201;200;FM;Rádio;;230;
 RADIO CLUBE DE PERNAMBUCO S/A; 10803500000115; RUA DO VEIGA, 600; 08S044000; 34W524100;; Recife;720,0000; PE; 322688272;;;10;AM;Rádio;;205;
 TELEVISAO CACHOEIRO LTDA; 31494693000140; RUA JOSE JULIO, 04; 20S513900; 41W132500;; Cachoeiro de Itapemirim;; ES; 5194709;;;6000;PAL-M;TV Analógica;;800;
 RADIO VENEZA LTDA; 11576360000152; RUA DA AURORA, 325; 08S040000; 34W530000;; Recife;95900,0000; PE; 322688477;;240;200;FM;Rádio;;230;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 07S055400; 41W263300;; São José do Rio Preto;507250,0000; SP; 323228224;;20;6000;ISDB-T;TV Digital;;802;
 TELEVISAO RIO FORMOSO LTDA; 02910917000159; AVENIDA MATO GROSSO, 1616; 11S203800; 49W161400; TELEV ANHANGUERA DE GURUPI; Gurupi;55250,0000; TO; 323022456;;2;6000;PAL-M;TV Analógica;;800;
 FUNDACAO SECULO VINTE E UM; 59016873000135; RUA PADRE VIEIRA, 103; 10S550200; 37W390000;; Campinas;489250,0000; SP; 323755828;;17;6000;ISDB-T;TV Digital;;802;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 21S530900; 47W364370;; São Paulo;699250,0000; SP; 9150242;;52;6000;ISDB-T;TV Digital;;802;
 RADIO PIRATININGA DE SAO JOSE DOS CAMPOS LTDA; 60192200000115; RUA EUCLIDES MIRAGAIA, 394; 23S135000; 45W543000; SUPER RADIO PIRATININGA; São José dos Campos;750,0000; SP; 7805969;;;10;AM;Rádio;;205;
 ORGANIZACOES RIO BONITO LTDA; 03903885000127; RUA PRESIDENTE JK, S/N - CENTRO, .; 15S480300; 50W382000;; Padre Bernardo;88500,0000; GO; 443777233;;203;200;FM;Rádio;;230;
 FUNDACAO DOM EDILBERTO DINKELBORG - FUNDED; 02409651000165; RUA CONEGO ACELINO PORTELA, 72; 07S007700; 42W069800;; Oeiras;106100,0000; PI; 690335946;;291;200;FM;Rádio;;230;
 SOCIEDADE RADIO CLUBE DE CORUMBA LTDA; 03379930000196; RUA DELAMARE 1274, .; 19S005700; 57W374200;; Corumbá;1410,0000; MS; 322816300;;;10;AM;Rádio;;205;
 FUNDACAO NAVEGANTES DE PORTO LUCENA; 90786765000191; RUA PARAGUAI, 42; 28S185200; 54W393100;; Porto Lucena;1440,0000; RS; 9628746;;;10;AM;Rádio;;205;
